server              76030670  
server              76219f70  Action<CTFBot>::OnCommandString [INER]
server              760d7c80  Action<CTFBot>::OnContact
server              7621a280  Action<CTFBot>::OnContact [INER]
server              760d7fc0  Action<CTFBot>::OnDrop
server              7621a590  Action<CTFBot>::OnDrop [INER]
server              75e0fa90  Action<CTFBot>::OnEnd
server              760d9890  Action<CTFBot>::OnIgnite
server              7621ad40  Action<CTFBot>::OnIgnite [INER]
server              760d7fc0  Action<CTFBot>::OnInjured
server              7621b060  Action<CTFBot>::OnInjured [INER]
server              760d7fc0  Action<CTFBot>::OnKilled
server              7621b370  Action<CTFBot>::OnKilled [INER]
server              760d7fc0  Action<CTFBot>::OnLandOnGround
server              7621b680  Action<CTFBot>::OnLandOnGround [INER]
server              760d7fc0  Action<CTFBot>::OnLeaveGround
server              7621b990  Action<CTFBot>::OnLeaveGround [INER]
server              760d9890  Action<CTFBot>::OnLose
server              7621bca0  Action<CTFBot>::OnLose [INER]
server              760d7fc0  Action<CTFBot>::OnLostSight
server              7621bfd0  Action<CTFBot>::OnLostSight [INER]
server              760d9890  Action<CTFBot>::OnModelChanged
server              7621c320  Action<CTFBot>::OnModelChanged [INER]
server              760d7c80  Action<CTFBot>::OnMoveToFailure
server              7621c640  Action<CTFBot>::OnMoveToFailure [INER]
server              760d7fc0  Action<CTFBot>::OnMoveToSuccess
server              7621c950  Action<CTFBot>::OnMoveToSuccess [INER]
server              760d7c80  Action<CTFBot>::OnNavAreaChanged
server              7621cc60  Action<CTFBot>::OnNavAreaChanged [INER]
server              760d7c80  Action<CTFBot>::OnOtherKilled
server              7621cfd0  Action<CTFBot>::OnOtherKilled [INER]
server              760d7c80  Action<CTFBot>::OnPickUp
server              7621d2e0  Action<CTFBot>::OnPickUp [INER]
server              760d9890  Action<CTFBot>::OnPostureChanged
server              7621d5f0  Action<CTFBot>::OnPostureChanged [INER]
server              760dd040  Action<CTFBot>::OnResume
server              760d7fc0  Action<CTFBot>::OnShoved
server              7621d910  Action<CTFBot>::OnShoved [INER]
server              760d7fc0  Action<CTFBot>::OnSight
server              7621dc20  Action<CTFBot>::OnSight [INER]
server              760dd990  Action<CTFBot>::OnSound
server              7621df30  Action<CTFBot>::OnSound [INER]
server              760dd990  Action<CTFBot>::OnSpokeConcept
server              7621e240  Action<CTFBot>::OnSpokeConcept [INER]
server              760dd040  Action<CTFBot>::OnStart
server              760d9890  Action<CTFBot>::OnStuck
server              7621e550  Action<CTFBot>::OnStuck [INER]
server              760dd040  Action<CTFBot>::OnSuspend
server              760d7fc0  Action<CTFBot>::OnTerritoryCaptured
server              7621e970  Action<CTFBot>::OnTerritoryCaptured [INER]
server              760d7fc0  Action<CTFBot>::OnTerritoryContested
server              7621ec80  Action<CTFBot>::OnTerritoryContested [INER]
server              760d7fc0  Action<CTFBot>::OnTerritoryLost
server              7621ef90  Action<CTFBot>::OnTerritoryLost [INER]
server              760d9890  Action<CTFBot>::OnUnStuck
server              7621f2a0  Action<CTFBot>::OnUnStuck [INER]
server              760d7c80  Action<CTFBot>::OnWeaponFired
server              7621f5c0  Action<CTFBot>::OnWeaponFired [INER]
server              760d9890  Action<CTFBot>::OnWin
server              7621fba0  Action<CTFBot>::OnWin [INER]
server              FAIL      Action<CTFBot>::PrintStateToConsole
server              760dd040  Action<CTFBot>::Update
server              7620e840  Action<CTFBot>::~Action [D2]
server              FAIL      Action<CZombie>::ApplyResult
server              FAIL      Action<CZombie>::BuildDecoratedName [clone]
server              FAIL      Action<CZombie>::DebugString
server              75e870f0  Action<CZombie>::FirstContainedResponder [INER]
server              7627ea70  Action<CZombie>::GetFullName
server              75e10fd0  Action<CZombie>::InitialContainedAction
server              FAIL      Action<CZombie>::InvokeOnEnd
server              FAIL      Action<CZombie>::InvokeOnResume
server              75e195e0  Action<CZombie>::IsAbleToBlockMovementOf
server              760d78e0  Action<CZombie>::IsNamed
server              75e10fd0  Action<CZombie>::NextContainedResponder [INER]
server              760d7c80  Action<CZombie>::OnActorEmoted
server              760d7970  Action<CZombie>::OnActorEmoted [INER]
server              760d7fc0  Action<CZombie>::OnAnimationActivityComplete
server              760d7cb0  Action<CZombie>::OnAnimationActivityComplete [INER]
server              760d7fc0  Action<CZombie>::OnAnimationActivityInterrupted
server              760d7ff0  Action<CZombie>::OnAnimationActivityInterrupted [INER]
server              760d7fc0  Action<CZombie>::OnAnimationEvent
server              760d8300  Action<CZombie>::OnAnimationEvent [INER]
server              760d7fc0  Action<CZombie>::OnBlinded
server              760d8610  Action<CZombie>::OnBlinded [INER]
server              760d7c80  Action<CZombie>::OnCommandApproach(ent)
server              760d8920  Action<CZombie>::OnCommandApproach(ent) [INER]
server              760d7fc0  Action<CZombie>::OnCommandApproach(vec)
server              760d8c30  Action<CZombie>::OnCommandApproach(vec) [INER]
server              760d7fc0  Action<CZombie>::OnCommandAttack
server              760d8f40  Action<CZombie>::OnCommandAttack [INER]
server              760d7fc0  Action<CZombie>::OnCommandPause
server              760d9250  Action<CZombie>::OnCommandPause [INER]
server              760d9890  Action<CZombie>::OnCommandResume
server              760d9560  Action<CZombie>::OnCommandResume [INER]
server              760d7c80  Action<CZombie>::OnCommandRetreat
server              760d98c0  Action<CZombie>::OnCommandRetreat [INER]
server              760d7fc0  Action<CZombie>::OnCommandString
server              760d9bd0  Action<CZombie>::OnCommandString [INER]
server              760d7c80  Action<CZombie>::OnContact
server              760d9ee0  Action<CZombie>::OnContact [INER]
server              760d7fc0  Action<CZombie>::OnDrop
server              760da1f0  Action<CZombie>::OnDrop [INER]
server              75e0fa90  Action<CZombie>::OnEnd
server              760d9890  Action<CZombie>::OnIgnite
server              760da500  Action<CZombie>::OnIgnite [INER]
server              760d7fc0  Action<CZombie>::OnInjured
server              760da820  Action<CZombie>::OnInjured [INER]
server              760d7fc0  Action<CZombie>::OnKilled
server              760dab30  Action<CZombie>::OnKilled [INER]
server              760d7fc0  Action<CZombie>::OnLandOnGround
server              760dae50  Action<CZombie>::OnLandOnGround [INER]
server              760d7fc0  Action<CZombie>::OnLeaveGround
server              760db160  Action<CZombie>::OnLeaveGround [INER]
server              760d9890  Action<CZombie>::OnLose
server              760db470  Action<CZombie>::OnLose [INER]
server              760d7fc0  Action<CZombie>::OnLostSight
server              760db7a0  Action<CZombie>::OnLostSight [INER]
server              760d9890  Action<CZombie>::OnModelChanged
server              760dbab0  Action<CZombie>::OnModelChanged [INER]
server              760d7c80  Action<CZombie>::OnMoveToFailure
server              760dbdd0  Action<CZombie>::OnMoveToFailure [INER]
server              760d7fc0  Action<CZombie>::OnMoveToSuccess
server              760dc0e0  Action<CZombie>::OnMoveToSuccess [INER]
server              760d7c80  Action<CZombie>::OnNavAreaChanged
server              760dc3f0  Action<CZombie>::OnNavAreaChanged [INER]
server              760d7c80  Action<CZombie>::OnOtherKilled
server              760dc700  Action<CZombie>::OnOtherKilled [INER]
server              760d7c80  Action<CZombie>::OnPickUp
server              760dca10  Action<CZombie>::OnPickUp [INER]
server              760d9890  Action<CZombie>::OnPostureChanged
server              760dcd20  Action<CZombie>::OnPostureChanged [INER]
server              760dd040  Action<CZombie>::OnResume
server              760d7fc0  Action<CZombie>::OnShoved
server              760dd060  Action<CZombie>::OnShoved [INER]
server              760d7fc0  Action<CZombie>::OnSight
server              760dd370  Action<CZombie>::OnSight [INER]
server              760dd990  Action<CZombie>::OnSound
server              760dd680  Action<CZombie>::OnSound [INER]
server              760dd990  Action<CZombie>::OnSpokeConcept
server              760dd9c0  Action<CZombie>::OnSpokeConcept [INER]
server              760dd040  Action<CZombie>::OnStart
server              760d9890  Action<CZombie>::OnStuck
server              760ddd10  Action<CZombie>::OnStuck [INER]
server              760dd040  Action<CZombie>::OnSuspend
server              760d7fc0  Action<CZombie>::OnTerritoryCaptured
server              760de060  Action<CZombie>::OnTerritoryCaptured [INER]
server              760d7fc0  Action<CZombie>::OnTerritoryContested
server              760de370  Action<CZombie>::OnTerritoryContested [INER]
server              760d7fc0  Action<CZombie>::OnTerritoryLost
server              760de680  Action<CZombie>::OnTerritoryLost [INER]
server              760d9890  Action<CZombie>::OnUnStuck
server              760de990  Action<CZombie>::OnUnStuck [INER]
server              760d7c80  Action<CZombie>::OnWeaponFired
server              760decb0  Action<CZombie>::OnWeaponFired [INER]
server              760d9890  Action<CZombie>::OnWin
server              760defc0  Action<CZombie>::OnWin [INER]
server              FAIL      Action<CZombie>::PrintStateToConsole
server              760dd040  Action<CZombie>::Update
server              7627ddc0  Action<CZombie>::~Action [D2]
server              75f41550  AllocPooledString
server              FAIL      AllocPooledString_StaticConstantStringPointer
server              FAIL      ApplyUpgrade_Default
server              FAIL      Behavior<CTFBot>::FirstContainedResponder
server              FAIL      CAI_BaseNPC::GetActivityID
server              FAIL      CAI_BaseNPC::GetActivityName
server              7666ef74  CAmbientGeneric::m_DataMap
server              FAIL      CAmmoPack::Precache
server              FAIL      CAnimationLayer::StudioFrameAdvance
server              7605fb10  CAttributeContainer::OnAttributeValuesChanged
server              761c01b0  CAttributeContainerPlayer::OnAttributeValuesChanged
server              FAIL      CAttributeIterator_GetTypedAttributeValue::OnIterateAttributeValue
server              FAIL      CAttributeList::AddAttribute
server              FAIL      CAttributeList::DestroyAllAttributes
server              FAIL      CAttributeList::GetAttributeByID
server              FAIL      CAttributeList::GetAttributeByName
server              FAIL      CAttributeList::IterateAttributes
server              FAIL      CAttributeList::NotifyManagerOfAttributeValueChanges
server              FAIL      CAttributeList::RemoveAttribute
server              FAIL      CAttributeList::RemoveAttributeByIndex
server              FAIL      CAttributeList::SetRuntimeAttributeRefundableCurrency
server              FAIL      CAttributeList::SetRuntimeAttributeValue
server              FAIL      CAttributeManager::AddProvider
server              7605d9a0  CAttributeManager::ApplyAttributeFloat
server              7605dc30  CAttributeManager::ApplyAttributeFloatWrapper
server              7605e030  CAttributeManager::ApplyAttributeString
server              7605e2d0  CAttributeManager::ApplyAttributeStringWrapper
server              FAIL      CAttributeManager::AttribHookValue<float>
server              FAIL      CAttributeManager::AttribHookValue<int>
server              FAIL      CAttributeManager::ClearCache
server              FAIL      CAttributeManager::ClearCache [clone]
server              FAIL      CAttributeManager::GetGlobalCacheVersion
server              FAIL      CAttributeManager::IsProvidingTo
server              7605e6f0  CAttributeManager::OnAttributeValuesChanged
server              FAIL      CAttributeManager::ProvideTo
server              FAIL      CAttributeManager::RemoveProvider
server              FAIL      CAttributeManager::StopProvidingTo
server              7605d560  CAttributeManager::~CAttributeManager [D0]
server              7605d560  CAttributeManager::~CAttributeManager [D2]
server              75e8a180  CBaseAnimating::DispatchAnimEvents
server              75e8a9e0  CBaseAnimating::DrawServerHitboxes
server              FAIL      CBaseAnimating::FindBodygroupByName
server              FAIL      CBaseAnimating::GetAttachment
server              75e8b080  CBaseAnimating::GetAttachment [matrix]
server              FAIL      CBaseAnimating::GetAttachmentBone
server              FAIL      CBaseAnimating::GetBodygroup
server              FAIL      CBaseAnimating::GetBodygroupCount
server              FAIL      CBaseAnimating::GetBodygroupName
server              FAIL      CBaseAnimating::GetBonePosition
server              FAIL      CBaseAnimating::GetBoneTransform
server              FAIL      CBaseAnimating::GetModelPtr
server              FAIL      CBaseAnimating::GetNumBodyGroups
server              FAIL      CBaseAnimating::GetNumBones
server              FAIL      CBaseAnimating::GetPoseParameter [int]
server              FAIL      CBaseAnimating::GetPoseParameter [str]
server              FAIL      CBaseAnimating::InvalidateBoneCache
server              FAIL      CBaseAnimating::LookupAttachment
server              FAIL      CBaseAnimating::LookupBone
server              FAIL      CBaseAnimating::LookupPoseParameter
server              FAIL      CBaseAnimating::LookupSequence
server              75e8f120  CBaseAnimating::RefreshCollisionBounds
server              75e8f290  CBaseAnimating::ResetSequence
server              FAIL      CBaseAnimating::ResetSequenceInfo
server              FAIL      CBaseAnimating::SequenceDuration
server              FAIL      CBaseAnimating::SetBodygroup
server              75e2bdd0  CBaseAnimating::SetLightingOrigin
server              75e8fd20  CBaseAnimating::SetModel
server              FAIL      CBaseAnimating::SetModelScale
server              FAIL      CBaseAnimating::SetPoseParameter
server              75e90a20  CBaseAnimating::StudioFrameAdvance
server              76638c50  CBaseAnimating::m_DataMap
server              FAIL      CBaseAnimatingOverlay::AddGesture
server              FAIL      CBaseAnimatingOverlay::AddGestureSequence
server              FAIL      CBaseAnimatingOverlay::FastRemoveLayer
server              FAIL      CBaseAnimatingOverlay::FastRemoveLayer [clone]
server              FAIL      CBaseAnimatingOverlay::GetLayerDuration
server              FAIL      CBaseAnimatingOverlay::RemoveAllGestures
server              FAIL      CBaseAnimatingOverlay::RemoveGesture
server              FAIL      CBaseAnimatingOverlay::RestartGesture
server              FAIL      CBaseAnimatingOverlay::SetLayerCycle
server              FAIL      CBaseAnimatingOverlay::SetLayerDuration
server              75e93990  CBaseAnimatingOverlay::StudioFrameAdvance
server              FAIL      CBaseCombatCharacter::AddGlowEffect
server              75e947a0  CBaseCombatCharacter::BecomeRagdoll
server              FAIL      CBaseCombatCharacter::CalcDamageForceVector
server              FAIL      CBaseCombatCharacter::CalculatePhysicsStressDamage
server              75e95320  CBaseCombatCharacter::ClearLastKnownArea
server              75e95660  CBaseCombatCharacter::Event_Killed
server              75e95c30  CBaseCombatCharacter::FInViewCone
server              75e9b570  CBaseCombatCharacter::GetAmmoCount
server              FAIL      CBaseCombatCharacter::GetBossType
server              75e20630  CBaseCombatCharacter::GetLastKnownArea
server              75e96bf0  CBaseCombatCharacter::GiveAmmo
server              FAIL      CBaseCombatCharacter::IsAbleToSee [CBaseCombatCharacter *]
server              FAIL      CBaseCombatCharacter::IsAbleToSee [CBaseEntity *]
server              FAIL      CBaseCombatCharacter::IsGlowEffectActive
server              75e975f0  CBaseCombatCharacter::OnTakeDamage
server              75e9c470  CBaseCombatCharacter::RemoveAmmo
server              FAIL      CBaseCombatCharacter::RemoveGlowEffect
server              FAIL      CBaseCombatCharacter::SetAmmoCount
server              FAIL      CBaseCombatCharacter::SetBloodColor
server              FAIL      CBaseCombatCharacter::ShouldGib
server              FAIL      CBaseCombatCharacter::SwitchToNextBestWeapon
server              75e995d0  CBaseCombatCharacter::UpdateLastKnownArea
server              75e9c700  CBaseCombatCharacter::Weapon_CanSwitchTo
server              FAIL      CBaseCombatCharacter::Weapon_Detach
server              75e9a420  CBaseCombatCharacter::Weapon_Equip
server              75e9aee0  CBaseCombatCharacter::Weapon_GetSlot
server              75e9c9d0  CBaseCombatCharacter::Weapon_Switch
server              FAIL      CBaseCombatWeapon::ActivityOverride
server              FAIL      CBaseCombatWeapon::CanPerformSecondaryAttack
server              FAIL      CBaseCombatWeapon::CheckReload
server              FAIL      CBaseCombatWeapon::Deploy
server              FAIL      CBaseCombatWeapon::Drop
server              FAIL      CBaseCombatWeapon::Equip
server              75ea1600  CBaseCombatWeapon::GetMaxClip1
server              FAIL      CBaseCombatWeapon::GetMaxClip2
server              FAIL      CBaseCombatWeapon::GetPrimaryAmmoType
server              FAIL      CBaseCombatWeapon::GetShootSound
server              FAIL      CBaseCombatWeapon::GetSlot
server              FAIL      CBaseCombatWeapon::GetViewModel
server              FAIL      CBaseCombatWeapon::GetWorldModel
server              FAIL      CBaseCombatWeapon::GetWpnData
server              FAIL      CBaseCombatWeapon::HasAmmo
server              FAIL      CBaseCombatWeapon::HasPrimaryAmmo
server              FAIL      CBaseCombatWeapon::Holster
server              75ea2680  CBaseCombatWeapon::IsMeleeWeapon
server              FAIL      CBaseCombatWeapon::ItemPostFrame
server              FAIL      CBaseCombatWeapon::Lower
server              FAIL      CBaseCombatWeapon::OnActiveStateChanged
server              75ea32b0  CBaseCombatWeapon::PrimaryAttack
server              FAIL      CBaseCombatWeapon::SecondaryAttack
server              FAIL      CBaseCombatWeapon::SetCustomViewModel
server              FAIL      CBaseCombatWeapon::SetIdealActivity
server              FAIL      CBaseCombatWeapon::SetOwner
server              FAIL      CBaseCombatWeapon::SetSubType
server              FAIL      CBaseCombatWeapon::SetViewModel
server              FAIL      CBaseCombatWeapon::SetViewModelIndex
server              FAIL      CBaseCombatWeapon::SetWeaponVisible
server              FAIL      CBaseCombatWeapon::UpdateTransmitState
server              FAIL      CBaseCombatWeapon::WeaponSound
server              7663a090  CBaseCombatWeapon::m_DataMap
server              FAIL      CBaseEdict::GetChangeAccessor
server              75ea9c70  CBaseEntity::AcceptInput
server              75eaa250  CBaseEntity::Activate
server              FAIL      CBaseEntity::AddEffects
server              FAIL      CBaseEntity::AddTimedOverlay
server              75ebf4b0  CBaseEntity::ApplyAbsVelocityImpulse
server              75ea8ea0  CBaseEntity::CBaseEntity
server              75eac4d0  CBaseEntity::CalcAbsolutePosition
server              FAIL      CBaseEntity::CalcAbsoluteVelocity
server              75ead330  CBaseEntity::ChangeTeam
server              FAIL      CBaseEntity::ClassMatchesComplex
server              FAIL      CBaseEntity::Create
server              FAIL      CBaseEntity::CreateNoSpawn
server              FAIL      CBaseEntity::DispatchTraceAttack
server              FAIL      CBaseEntity::DispatchUpdateTransmitState
server              75eaefd0  CBaseEntity::DrawDebugGeometryOverlays
server              75eafb30  CBaseEntity::DrawDebugTextOverlays
server              FAIL      CBaseEntity::DrawTimedOverlays
server              FAIL      CBaseEntity::EmitSound [member: normal + handle]
server              75fee1f0  CBaseEntity::EmitSound [member: normal]
server              FAIL      CBaseEntity::EmitSound [static: emitsound + handle]
server              FAIL      CBaseEntity::EmitSound [static: emitsound]
server              FAIL      CBaseEntity::EmitSound [static: normal + handle]
server              FAIL      CBaseEntity::EmitSound [static: normal]
server              75eb03e0  CBaseEntity::EndTouch
server              FAIL      CBaseEntity::EntityText
server              75eb0930  CBaseEntity::Event_Killed
server              75e38920  CBaseEntity::EyeAngles
server              75ebfbb0  CBaseEntity::EyePosition
server              75eb09f0  CBaseEntity::FVisible [ent]
server              75eb0b20  CBaseEntity::FVisible [vec]
server              75ebfc40  CBaseEntity::FireBullets
server              75eb1030  CBaseEntity::FireNamedOutput
server              75e17970  CBaseEntity::GetBaseAnimating
server              75e1fff0  CBaseEntity::GetBaseEntity
server              75e20080  CBaseEntity::GetCollideable
server              75e1d760  CBaseEntity::GetDamage
server              FAIL      CBaseEntity::GetDamageType
server              75eb1330  CBaseEntity::GetDataDescMap
server              FAIL      CBaseEntity::GetDataObject
server              FAIL      CBaseEntity::GetDefaultItemChargeMeterValue
server              75ec0ec0  CBaseEntity::GetKeyValue
server              75e20690  CBaseEntity::GetMaxHealth
server              FAIL      CBaseEntity::GetModel
server              75e206b0  CBaseEntity::GetModelIndex
server              75e206c0  CBaseEntity::GetModelName
server              75e207e0  CBaseEntity::GetNetworkable
server              FAIL      CBaseEntity::GetNextThink
server              FAIL      CBaseEntity::GetParametersForSound
server              75e20860  CBaseEntity::GetRefEHandle
server              75eb1a40  CBaseEntity::GetServerClass
server              FAIL      CBaseEntity::GetTeamNumber
server              FAIL      CBaseEntity::GetTouchTrace
server              75e17970  CBaseEntity::GetTracerType
server              FAIL      CBaseEntity::GetTransmitState
server              75eb1b40  CBaseEntity::GetVelocity
server              FAIL      CBaseEntity::InSameTeam
server              75e230e0  CBaseEntity::IsAlive
server              FAIL      CBaseEntity::IsBSPModel
server              75e17e70  CBaseEntity::IsBaseCombatWeapon
server              75e17e70  CBaseEntity::IsBaseObject
server              75e17e70  CBaseEntity::IsCombatItem
server              75e17e70  CBaseEntity::IsDeflectable
server              75e17e70  CBaseEntity::IsPlayer
server              75e17e70  CBaseEntity::IsWearable
server              75ec17c0  CBaseEntity::KeyValue
server              75df0ba0  CBaseEntity::ModifyFireBulletsDamage
server              75e17970  CBaseEntity::MyCombatCharacterPointer
server              75e17970  CBaseEntity::MyCombatWeaponPointer
server              75e17970  CBaseEntity::MyNextBotPointer
server              FAIL      CBaseEntity::NameMatchesComplex
server              75eb7ff0  CBaseEntity::OnTakeDamage
server              75ec1e80  CBaseEntity::ParseMapData
server              75eb8350  CBaseEntity::PassesDamageFilter
server              75e17b90  CBaseEntity::PerformCustomPhysics
server              75f7ff70  CBaseEntity::PhysicsDispatchThink
server              FAIL      CBaseEntity::PhysicsNoclip
server              75f85c40  CBaseEntity::PhysicsRunSpecificThink
server              FAIL      CBaseEntity::PhysicsRunThink
server              75f85e00  CBaseEntity::PhysicsSimulate
server              75f861f0  CBaseEntity::PhysicsSolidMaskForEntity
server              FAIL      CBaseEntity::PostClientActive
server              75eb86f0  CBaseEntity::PrecacheModel
server              FAIL      CBaseEntity::PrecacheScriptSound
server              FAIL      CBaseEntity::PrecacheSound
server              FAIL      CBaseEntity::ReadKeyField
server              FAIL      CBaseEntity::Remove
server              75ebb3a0  CBaseEntity::SetAbsAngles
server              75ebb610  CBaseEntity::SetAbsOrigin
server              FAIL      CBaseEntity::SetAbsVelocity
server              75df0ba0  CBaseEntity::SetDamage
server              FAIL      CBaseEntity::SetEffects
server              75ebbc80  CBaseEntity::SetLocalAngles
server              75ebbef0  CBaseEntity::SetLocalOrigin
server              75ebc060  CBaseEntity::SetLocalVelocity
server              75ebc1e0  CBaseEntity::SetModel
server              75ebc240  CBaseEntity::SetModelIndex
server              75ebc3d0  CBaseEntity::SetModelIndexOverride
server              FAIL      CBaseEntity::SetMoveType
server              FAIL      CBaseEntity::SetNextThink [index]
server              FAIL      CBaseEntity::SetNextThink [name]
server              75ebc5a0  CBaseEntity::SetOwnerEntity
server              75ebc660  CBaseEntity::SetParent
server              75ebcdf0  CBaseEntity::SetTransmit
server              FAIL      CBaseEntity::SetTransmitState
server              75ec2470  CBaseEntity::ShouldCollide
server              75ebcfe0  CBaseEntity::ShouldTransmit
server              FAIL      CBaseEntity::Spawn
server              75ebd170  CBaseEntity::StartTouch
server              FAIL      CBaseEntity::StopSound
server              75ebd290  CBaseEntity::TakeDamage
server              75ebdc10  CBaseEntity::TakeHealth
server              75ebdd60  CBaseEntity::Teleport
server              FAIL      CBaseEntity::ThinkSet
server              75ebe2d0  CBaseEntity::Touch
server              75ec26d0  CBaseEntity::TraceAttack
server              FAIL      CBaseEntity::TransformStepData_ParentToParent
server              FAIL      CBaseEntity::TransformStepData_WorldToParent
server              75ebe350  CBaseEntity::UpdateOnRemove
server              75ec2b00  CBaseEntity::VPhysicsDestroyObject
server              FAIL      CBaseEntity::VPhysicsInitStatic
server              75ec3300  CBaseEntity::WorldSpaceCenter
server              7663ab5c  CBaseEntity::m_DataMap
server              7663ab84  CBaseEntity::m_nPredictionRandomSeed
server              FAIL      CBaseEntity::m_nPredictionRandomSeedServer
server              FAIL      CBaseEntity::m_pPredictionPlayer
server              FAIL      CBaseEntityOutput::DeleteAllElements
server              75ee5ce0  CBaseEntityOutput::FireOutput
server              FAIL      CBaseEntityOutput::ParseEventAction
server              FAIL      CBaseFilter::InputTestActivator
server              75f18a90  CBaseFilter::PassesDamageFilter
server              75f18ac0  CBaseFilter::PassesDamageFilterImpl
server              FAIL      CBaseFilter::PassesFilter
server              75e236f0  CBaseFilter::PassesFilterImpl
server              7664d35c  CBaseFilter::m_DataMap
server              75ec55d0  CBaseFlex::AddSceneEvent
server              75ec7eb0  CBaseFlex::ProcessSceneEvents
server              75ec8cd0  CBaseGrenade::GetDamageRadius
server              FAIL      CBaseGrenade::GetThrower
server              75ec8ce0  CBaseGrenade::SetDamage
server              FAIL      CBaseGrenade::SetThrower
server              FAIL      CBaseIssue::CBaseIssue
server              FAIL      CBaseMultiplayerPlayer::ShouldRunRateLimitedCommand [str]
server              75ecc060  CBaseMultiplayerPlayer::SpeakConceptIfAllowed
server              FAIL      CBaseObject::AttachObjectToObject
server              FAIL      CBaseObject::CanBeUpgraded
server              FAIL      CBaseObject::DetonateObject
server              FAIL      CBaseObject::FindBuildPointOnPlayer
server              FAIL      CBaseObject::FindBuildPointOnPlayer [clone]
server              FAIL      CBaseObject::FindNearestBuildPoint
server              FAIL      CBaseObject::FindSnapToBuildPos
server              FAIL      CBaseObject::FinishedBuilding
server              76181a30  CBaseObject::GetMaxHealthForCurrentLevel
server              FAIL      CBaseObject::GetMaxUpgradeLevel
server              FAIL      CBaseObject::GetMiniBuildingStartingHealth
server              FAIL      CBaseObject::HasSapper
server              FAIL      CBaseObject::InitializeMapPlacedObject
server              FAIL      CBaseObject::IsHostileUpgrade
server              FAIL      CBaseObject::MustBeBuiltOnAttachmentPoint
server              76182ea0  CBaseObject::OnTakeDamage
server              FAIL      CBaseObject::SetHealth
server              FAIL      CBaseObject::SetPlasmaDisabled
server              FAIL      CBaseObject::ShouldQuickBuild
server              76184f80  CBaseObject::StartBuilding
server              FAIL      CBaseObject::StartPlacement
server              FAIL      CBaseObject::StartUpgrading
server              FAIL      CBaseObject::UpdateOnRemove
server              7668b734  CBaseObject::m_DataMap
server              75f9c730  CBasePlayer::Activate
server              FAIL      CBasePlayer::ChangeTeam [int, bool, bool, bool]
server              75f9ec10  CBasePlayer::ClientCommand
server              75f9f600  CBasePlayer::CommitSuicide
server              75f9fb00  CBasePlayer::CreateViewModel
server              FAIL      CBasePlayer::DisableButtons
server              FAIL      CBasePlayer::EnableButtons
server              75fa08d0  CBasePlayer::EquipWearable
server              75fa0a80  CBasePlayer::Event_Killed
server              75ecc4b0  CBasePlayer::EyeAngles
server              FAIL      CBasePlayer::EyeVectors
server              75ecc6d0  CBasePlayer::FindUseEntity
server              FAIL      CBasePlayer::ForceButtons
server              75fa1460  CBasePlayer::ForceRespawn
server              FAIL      CBasePlayer::GetInVehicle
server              FAIL      CBasePlayer::GetInVehicle [clone]
server              75ecd4e0  CBasePlayer::GetPlayerMaxSpeed
server              75fa23e0  CBasePlayer::GetSteamID
server              FAIL      CBasePlayer::GetViewModel
server              75fa4000  CBasePlayer::IsBot
server              75ecbbf0  CBasePlayer::IsBotOfType
server              75fa4000  CBasePlayer::IsFakeClient
server              FAIL      CBasePlayer::IsPlayer
server              75ecd780  CBasePlayer::ItemPostFrame
